param_trial_196: mean reward 38.825275000000005, mean std_error 7.552955187573015
param_trial_197: mean reward 31.317725, mean std_error 6.219528618353707
param_trial_198: mean reward 42.915124999999996, mean std_error 7.812961535577081
param_trial_199: mean reward 45.619324999999996, mean std_error 9.312778461970687
param_trial_200: mean reward 50.79535, mean std_error 10.69014348504469
param_trial_201: mean reward 33.81765, mean std_error 5.603698886506359
param_trial_202: mean reward 37.572300000000006, mean std_error 7.86522715776681
param_trial_203: mean reward 43.932525000000005, mean std_error 9.663020356872178
param_trial_204: mean reward 22.340950000000003, mean std_error 1.1623003563095293
param_trial_205: mean reward 22.230649999999997, mean std_error 1.1516316352374425
param_trial_206: mean reward 22.286925, mean std_error 1.1602614954542174
param_trial_207: mean reward 43.453649999999996, mean std_error 8.84084397446487
param_trial_208: mean reward 31.759825, mean std_error 6.40440673358555
param_trial_209: mean reward 36.281825, mean std_error 6.477659602534261
param_trial_210: mean reward 55.821025, mean std_error 11.518756809734093
param_trial_211: mean reward 47.48137500000001, mean std_error 9.953314781374974
param_trial_212: mean reward 45.872924999999995, mean std_error 9.048919399067893
param_trial_213: mean reward 31.454124999999998, mean std_error 5.127757099735207
param_trial_214: mean reward 36.959625, mean std_error 5.981571370074339
param_trial_215: mean reward 53.99705, mean std_error 12.22449622886124
param_trial_216: mean reward 22.364075000000003, mean std_error 1.1711926780189754
param_trial_217: mean reward 22.1495, mean std_error 1.1569020751124142
param_trial_218: mean reward 22.153125, mean std_error 1.1632511011106401
param_trial_219: mean reward 46.649475, mean std_error 8.723042113950882
param_trial_220: mean reward 38.924175, mean std_error 6.38186241081917
param_trial_221: mean reward 32.719899999999996, mean std_error 7.224846449282243
param_trial_222: mean reward 36.958325, mean std_error 8.4144906922448
param_trial_223: mean reward 42.17515, mean std_error 6.406588671804061
param_trial_224: mean reward 36.62905, mean std_error 8.24258398548518
param_trial_225: mean reward 39.240700000000004, mean std_error 7.565468788499235
param_trial_226: mean reward 35.135549999999995, mean std_error 6.755137659900911
param_trial_227: mean reward 35.660375, mean std_error 5.964554122683506
param_trial_228: mean reward 22.22825, mean std_error 1.1664454900347474
param_trial_229: mean reward 22.297025000000005, mean std_error 1.1614615143047446
param_trial_230: mean reward 22.390225, mean std_error 1.1728865140167823
param_trial_231: mean reward 38.1061, mean std_error 6.30049618442029
param_trial_232: mean reward 33.942325000000004, mean std_error 7.277867233104515
param_trial_233: mean reward 29.88825, mean std_error 5.510235979518545
param_trial_234: mean reward 43.553675000000005, mean std_error 9.35101040419631
param_trial_235: mean reward 32.310825, mean std_error 6.731035391201658
param_trial_236: mean reward 39.031475, mean std_error 7.037065204752121
param_trial_237: mean reward 32.29275, mean std_error 7.703120265220492
param_trial_238: mean reward 44.567, mean std_error 9.465031460657606
param_trial_239: mean reward 42.01015, mean std_error 8.0720351859969
param_trial_240: mean reward 22.19745, mean std_error 1.173690445990701
param_trial_241: mean reward 22.260925, mean std_error 1.1870041182874862
param_trial_242: mean reward 22.329475, mean std_error 1.2006179287810446
param_trial_243: mean reward 35.519725, mean std_error 5.744862473734364
param_trial_244: mean reward 42.821324999999995, mean std_error 8.292430837874578
param_trial_245: mean reward 36.52545, mean std_error 6.344154886444707
param_trial_246: mean reward 33.691775, mean std_error 5.377382210336349
param_trial_247: mean reward 36.921525, mean std_error 8.111042941013386
param_trial_248: mean reward 43.09515, mean std_error 7.216590841906639
param_trial_249: mean reward 28.023274999999998, mean std_error 5.276985274447404
param_trial_250: mean reward 33.976274999999994, mean std_error 6.894376371720927
param_trial_251: mean reward 41.035375, mean std_error 8.47694609259205
param_trial_252: mean reward 22.340349999999997, mean std_error 1.1584411056515318
param_trial_253: mean reward 22.21045, mean std_error 1.134682423461837
param_trial_254: mean reward 22.289375, mean std_error 1.1610272789321332
param_trial_255: mean reward 45.31345, mean std_error 9.083336000462207
param_trial_256: mean reward 39.498475, mean std_error 7.224840480776961
param_trial_257: mean reward 34.246975, mean std_error 6.077339946656273
param_trial_258: mean reward 42.644175, mean std_error 9.668596473891043
param_trial_259: mean reward 45.379275, mean std_error 9.504366084391874
param_trial_260: mean reward 36.08905, mean std_error 8.65103257472466
