trial,tsetlin_number_of_clauses,tsetlin_T,tsetlin_s,tsetlin_states,tsetlin_max_target,tsetlin_min_target,min_epsilon,epsilon_decay,num_bins,log_bins
339,6000,5000000,2.5,4,300,0,0.004,0.0016,8,False
340,10000,5000000,2.5,4,300,0,0.004,0.0016,8,False
341,14000,5000000,2.5,4,300,0,0.004,0.0016,8,False
342,6000,20000000,2.5,4,300,0,0.004,0.0016,8,False
343,10000,20000000,2.5,4,300,0,0.004,0.0016,8,False
344,14000,20000000,2.5,4,300,0,0.004,0.0016,8,False
345,6000,40000000,2.5,4,300,0,0.004,0.0016,8,False
346,10000,40000000,2.5,4,300,0,0.004,0.0016,8,False
347,14000,40000000,2.5,4,300,0,0.004,0.0016,8,False
348,6000,100000,2.5,8,300,0,0.004,0.0016,8,False
349,10000,100000,2.5,8,300,0,0.004,0.0016,8,False
350,14000,100000,2.5,8,300,0,0.004,0.0016,8,False
351,6000,5000000,2.5,8,300,0,0.004,0.0016,8,False
352,10000,5000000,2.5,8,300,0,0.004,0.0016,8,False
353,14000,5000000,2.5,8,300,0,0.004,0.0016,8,False
354,6000,20000000,2.5,8,300,0,0.004,0.0016,8,False
355,10000,20000000,2.5,8,300,0,0.004,0.0016,8,False
356,14000,20000000,2.5,8,300,0,0.004,0.0016,8,False
357,6000,40000000,2.5,8,300,0,0.004,0.0016,8,False
358,10000,40000000,2.5,8,300,0,0.004,0.0016,8,False
359,14000,40000000,2.5,8,300,0,0.004,0.0016,8,False
360,6000,100000,2.5,25,300,0,0.004,0.0016,8,False
361,10000,100000,2.5,25,300,0,0.004,0.0016,8,False
362,14000,100000,2.5,25,300,0,0.004,0.0016,8,False
363,6000,5000000,2.5,25,300,0,0.004,0.0016,8,False
364,10000,5000000,2.5,25,300,0,0.004,0.0016,8,False
365,14000,5000000,2.5,25,300,0,0.004,0.0016,8,False
366,6000,20000000,2.5,25,300,0,0.004,0.0016,8,False
367,10000,20000000,2.5,25,300,0,0.004,0.0016,8,False
368,14000,20000000,2.5,25,300,0,0.004,0.0016,8,False
369,6000,40000000,2.5,25,300,0,0.004,0.0016,8,False
370,10000,40000000,2.5,25,300,0,0.004,0.0016,8,False
371,14000,40000000,2.5,25,300,0,0.004,0.0016,8,False
372,6000,100000,2.5,100,300,0,0.004,0.0016,8,False
373,10000,100000,2.5,100,300,0,0.004,0.0016,8,False
374,14000,100000,2.5,100,300,0,0.004,0.0016,8,False
375,6000,5000000,2.5,100,300,0,0.004,0.0016,8,False
376,10000,5000000,2.5,100,300,0,0.004,0.0016,8,False
377,14000,5000000,2.5,100,300,0,0.004,0.0016,8,False
378,6000,20000000,2.5,100,300,0,0.004,0.0016,8,False
379,10000,20000000,2.5,100,300,0,0.004,0.0016,8,False
380,14000,20000000,2.5,100,300,0,0.004,0.0016,8,False
381,6000,40000000,2.5,100,300,0,0.004,0.0016,8,False
382,10000,40000000,2.5,100,300,0,0.004,0.0016,8,False
383,14000,40000000,2.5,100,300,0,0.004,0.0016,8,False
384,6000,100000,2.5,4,300,0,0.001,0.0016,8,False
385,10000,100000,2.5,4,300,0,0.001,0.0016,8,False
386,14000,100000,2.5,4,300,0,0.001,0.0016,8,False
387,6000,5000000,2.5,4,300,0,0.001,0.0016,8,False
388,10000,5000000,2.5,4,300,0,0.001,0.0016,8,False
389,14000,5000000,2.5,4,300,0,0.001,0.0016,8,False
390,6000,20000000,2.5,4,300,0,0.001,0.0016,8,False
391,10000,20000000,2.5,4,300,0,0.001,0.0016,8,False
392,14000,20000000,2.5,4,300,0,0.001,0.0016,8,False
393,6000,40000000,2.5,4,300,0,0.001,0.0016,8,False
394,10000,40000000,2.5,4,300,0,0.001,0.0016,8,False
395,14000,40000000,2.5,4,300,0,0.001,0.0016,8,False
396,6000,100000,2.5,8,300,0,0.001,0.0016,8,False
397,10000,100000,2.5,8,300,0,0.001,0.0016,8,False
398,14000,100000,2.5,8,300,0,0.001,0.0016,8,False
399,6000,5000000,2.5,8,300,0,0.001,0.0016,8,False
400,10000,5000000,2.5,8,300,0,0.001,0.0016,8,False
401,14000,5000000,2.5,8,300,0,0.001,0.0016,8,False
402,6000,20000000,2.5,8,300,0,0.001,0.0016,8,False
403,10000,20000000,2.5,8,300,0,0.001,0.0016,8,False
404,14000,20000000,2.5,8,300,0,0.001,0.0016,8,False
405,6000,40000000,2.5,8,300,0,0.001,0.0016,8,False
406,10000,40000000,2.5,8,300,0,0.001,0.0016,8,False
407,14000,40000000,2.5,8,300,0,0.001,0.0016,8,False
408,6000,100000,2.5,25,300,0,0.001,0.0016,8,False
409,10000,100000,2.5,25,300,0,0.001,0.0016,8,False
410,14000,100000,2.5,25,300,0,0.001,0.0016,8,False
411,6000,5000000,2.5,25,300,0,0.001,0.0016,8,False
412,10000,5000000,2.5,25,300,0,0.001,0.0016,8,False
413,14000,5000000,2.5,25,300,0,0.001,0.0016,8,False
414,6000,20000000,2.5,25,300,0,0.001,0.0016,8,False
415,10000,20000000,2.5,25,300,0,0.001,0.0016,8,False
416,14000,20000000,2.5,25,300,0,0.001,0.0016,8,False
417,6000,40000000,2.5,25,300,0,0.001,0.0016,8,False
418,10000,40000000,2.5,25,300,0,0.001,0.0016,8,False
419,14000,40000000,2.5,25,300,0,0.001,0.0016,8,False
420,6000,100000,2.5,100,300,0,0.001,0.0016,8,False
421,10000,100000,2.5,100,300,0,0.001,0.0016,8,False
422,14000,100000,2.5,100,300,0,0.001,0.0016,8,False
423,6000,5000000,2.5,100,300,0,0.001,0.0016,8,False
424,10000,5000000,2.5,100,300,0,0.001,0.0016,8,False
425,14000,5000000,2.5,100,300,0,0.001,0.0016,8,False
426,6000,20000000,2.5,100,300,0,0.001,0.0016,8,False
427,10000,20000000,2.5,100,300,0,0.001,0.0016,8,False
428,14000,20000000,2.5,100,300,0,0.001,0.0016,8,False
429,6000,40000000,2.5,100,300,0,0.001,0.0016,8,False
